Time_ms,Voltage_mV
135.0,-72.6640465224243
135.5,-72.51464208824301
136.0,-72.36495179462706
136.5,-72.21495079553374
137.0,-72.06461149886816
137.5,-71.91390410728896
138.0,-71.7627968711628
138.5,-71.61125617847856
139.0,-71.45924654920591
139.5,-71.30673057062563
140.0,-71.15366879325339
140.5,-71.00001959762079
141.0,-70.84573903690244
141.5,-70.69078065731887
142.0,-70.53509529639518
142.5,-70.37863085795126
143.0,-70.22133206183678
143.5,-70.06314016572058
144.0,-69.90399265559813
144.5,-69.74382290102162
145.0,-69.58255977034216
145.5,-69.42012720044214
146.0,-69.25644371449405
146.5,-69.09142188017441
147.0,-68.92496769944371
147.5,-68.7569799194306
148.0,-68.58734925206515
148.5,-68.4159574878223
149.0,-68.24267648616443
149.5,-68.06736702189527
150.0,-67.88987746250285
150.5,-67.71004224648499
151.0,-67.5276801263654
151.5,-67.34259213230067
152.0,-67.15455920242418
152.5,-66.96333941382117
153.0,-66.76866473254606
153.5,-66.57023718140702
154.0,-66.36772429904654
154.5,-66.16075373137512
155.0,-65.94890675426383
155.5,-65.73171047125933
156.0,-65.5086283573619
156.5,-65.27904872316466
157.0,-65.04227054377348
157.5,-64.79748592085161
158.0,-64.54375820493617
158.5,-64.2799944710731
159.0,-64.00491057248752
159.5,-63.716986332070626
160.0,-63.414407474293924
160.5,-63.094989501684466
161.0,-62.75607664355963
161.5,-62.394405867207674
162.0,-62.005921109456125
162.5,-61.58551528680672
163.0,-61.12666541167266
163.5,-60.620905951528364
164.0,-60.057051279965435
164.5,-59.42001797016366
165.0,-58.68898852538227
165.5,-57.83445171610665
166.0,-56.813245878113015
166.5,-55.55987754555616
167.0,-53.97048927116068
167.5,-51.87130687021287
168.0,-48.95151400587271
168.5,-44.60585683805872
169.0,-37.516464698030646
169.5,-24.34103701697081
170.0,5.472326654322263
170.5,-65.0
171.0,-68.24108321511282
171.5,-70.88055486841753
172.0,-72.70457544628337
172.5,-73.77868532079493
173.0,-74.31826519857482
173.5,-74.53522584897644
